,0,1,2,3,4,5,6,7,8
0,4569.0,13.0,19.0,73.0,2162.0,450.0,8.0,3.5,3.5
1,4752.0,159.0,19.0,73.0,265.0,400.0,8.0,4.0,4.0
2,5449.0,80.0,54.0,16.0,475.0,500.0,26.0,4.1,4.100000000000006
3,530.0,76.0,40.0,0.0,230.0,500.0,18.0,4.0,4.0
4,4042.0,5.0,4.0,73.0,2149.0,150.0,20.0,3.4,3.4179999999999975
5,6160.0,188.0,78.0,25.0,1868.0,1.3,9.0,4.0,4.0
6,4130.0,12.0,81.0,86.0,1302.0,300.0,25.0,3.6,3.600000000000003
7,1145.0,601.0,45.0,24.0,1354.0,1.1,17.0,4.1,4.100000000000006
8,5657.0,59.0,0.0,73.0,266.0,400.0,17.0,3.1,3.1000000000000005
9,3618.0,214.0,0.0,24.0,1706.0,600.0,0.0,3.9,3.7599999999999962
10,1450.0,7.0,44.0,73.0,1385.0,100.0,0.0,3.2,3.2089999999999947
11,4410.0,41.0,84.0,86.0,1058.0,300.0,6.0,4.5,4.5
12,1664.0,27.0,27.0,24.0,705.0,700.0,25.0,4.0,3.647999999999998
13,4066.0,54.0,0.0,36.0,358.0,600.0,16.0,2.6,2.5999999999999965
14,4348.0,169.0,0.0,6.0,1207.0,1.1,17.0,4.0,4.0
15,5801.0,223.0,51.0,73.0,453.0,700.0,7.0,4.4,4.399999999999992
16,4928.0,7.0,55.0,50.0,1585.0,400.0,28.0,3.3,3.296000000000005
17,803.0,149.0,44.0,86.0,289.0,350.0,18.0,4.4,4.399999999999992
18,3647.0,127.0,18.0,86.0,1153.0,300.0,16.0,3.7,3.6989999999999936
19,1788.0,50.0,3.0,16.0,475.0,600.0,12.0,3.9,3.899999999999995
20,4187.0,110.0,65.0,24.0,2197.0,1.6,27.0,3.8,3.800000000000007
21,5227.0,317.0,51.0,16.0,562.0,800.0,27.0,3.9,3.899999999999995
22,2438.0,80.0,35.0,24.0,700.0,750.0,14.0,3.8,3.800000000000007
23,3277.0,17.0,8.0,11.0,303.0,200.0,21.0,3.7,3.699999999999993
24,3709.0,11.0,20.0,73.0,385.0,400.0,9.0,3.4,3.3160000000000007
25,4867.0,44.0,44.0,73.0,2295.0,150.0,18.0,4.1,4.100000000000006
26,5069.0,9.0,47.0,11.0,283.0,200.0,13.0,3.1,3.1080000000000005
27,3840.0,119.0,82.0,24.0,691.0,600.0,20.0,3.9,3.899999999999995
28,2423.0,21.0,18.0,73.0,1446.0,350.0,17.0,3.4,3.3999999999999972
29,1755.0,220.0,35.0,73.0,379.0,400.0,15.0,3.7,3.6529999999999982
30,6340.0,314.0,40.0,86.0,1271.0,650.0,18.0,4.1,4.100000000000006
31,3679.0,255.0,28.0,24.0,1649.0,1.0,27.0,2.8,2.800000000000005
32,4531.0,4.0,6.0,73.0,1993.0,300.0,4.0,3.2,3.241999999999998
33,2583.0,294.0,22.0,24.0,280.0,600.0,19.0,3.2,3.1949999999999936
34,5331.0,351.0,2.0,62.0,97.0,350.0,14.0,3.3,3.300000000000006
35,3368.0,1026.0,46.0,20.0,592.0,550.0,18.0,4.6,4.600000000000008
36,596.0,17.0,85.0,37.0,1302.0,250.0,7.0,3.1,3.174999999999999
37,1975.0,11.0,89.0,73.0,1114.0,300.0,21.0,3.5,3.498999999999999
38,2558.0,6.0,31.0,24.0,1649.0,550.0,17.0,3.1,3.1050000000000004
39,4023.0,102.0,3.0,73.0,1649.0,350.0,17.0,2.8,2.800000000000005
40,5773.0,9.0,55.0,73.0,1734.0,400.0,23.0,3.4,3.365999999999998
41,3964.0,13.0,4.0,73.0,398.0,300.0,3.0,3.5,3.382999999999999
42,5325.0,41.0,0.0,5.0,255.0,200.0,13.0,3.9,3.899999999999995
43,3570.0,183.0,3.0,36.0,1585.0,450.0,2.0,2.4,3.622000000000001
44,5374.0,12.0,29.0,73.0,2058.0,200.0,19.0,3.6,3.595000000000004
45,746.0,668.0,22.0,24.0,411.0,800.0,10.0,3.9,3.899999999999995
46,2808.0,2852.0,88.0,25.0,1569.0,1.1,29.0,4.0,4.0
47,1220.0,124.0,27.0,17.0,496.0,450.0,21.0,4.1,4.093000000000006
48,6508.0,427.0,61.0,34.0,1091.0,2.4,11.0,4.0,4.0
49,2832.0,7.0,43.0,11.0,283.0,150.0,18.0,3.4,3.3999999999999972
50,3827.0,17.0,82.0,73.0,1670.0,400.0,5.0,3.5,3.399999999999999
51,2517.0,26.0,45.0,73.0,1760.0,400.0,16.0,2.8,2.800000000000005
52,4201.0,55.0,27.0,37.0,1035.0,300.0,11.0,3.8,3.800000000000007
53,3914.0,922.0,27.0,37.0,1302.0,150.0,11.0,4.6,4.354
54,2908.0,205.0,80.0,24.0,1700.0,500.0,7.0,3.9,3.897999999999995
55,1646.0,48.0,35.0,56.0,2307.0,200.0,14.0,3.9,3.899999999999995
56,2305.0,4.0,43.0,6.0,1649.0,1.0,16.0,3.3,3.300000000000006
57,2916.0,335.0,3.0,24.0,1649.0,500.0,12.0,2.8,2.883000000000004
58,4702.0,32.0,45.0,73.0,1182.0,450.0,18.0,3.7,3.6979999999999933
59,5455.0,2699.0,27.0,37.0,1316.0,550.0,25.0,4.4,4.405999999999994
60,1432.0,77.0,2.0,16.0,597.0,550.0,15.0,3.8,3.800000000000007
61,2032.0,233.0,31.0,73.0,2176.0,400.0,19.0,4.0,3.935
62,5789.0,34.0,58.0,73.0,818.0,300.0,14.0,3.6,3.610000000000004
63,6022.0,697.0,29.0,63.0,935.0,1.5,13.0,4.3,4.290000000000006
64,3780.0,434.0,22.0,24.0,1734.0,600.0,10.0,4.0,3.986
65,4755.0,1289.0,12.0,68.0,948.0,1.1,7.0,4.2,4.199999999999993
66,5636.0,24.0,88.0,54.0,1883.0,700.0,6.0,2.7,2.854999999999996
67,22.0,46.0,15.0,24.0,174.0,1.0,7.0,3.1,3.1000000000000005
68,2708.0,15.0,82.0,73.0,1649.0,300.0,5.0,3.6,3.600000000000003
69,312.0,48.0,6.0,36.0,49.0,400.0,4.0,3.6,3.627000000000001
70,3128.0,14.0,19.0,73.0,1182.0,200.0,8.0,3.5,3.4954999999999994
71,6344.0,88.0,88.0,73.0,1649.0,300.0,29.0,3.7,3.4160000000000013
72,2554.0,125.0,8.0,24.0,845.0,600.0,7.0,3.7,3.6989999999999936
73,474.0,54.0,51.0,24.0,211.0,1.5,27.0,3.9,3.899999999999995
74,2773.0,57.0,80.0,24.0,1649.0,700.0,5.0,3.7,3.695999999999994
75,3033.0,103.0,70.0,73.0,96.0,300.0,7.0,4.0,3.9659999999999997
